product_id,category,supplier,region,responsible,minimum_stock,maximum_stock,current_stock,monthly_sales,sales_last_7_days,sales_last_30_days,lead_time_days,unit_cost,seasonality_index,demand_trend,target_risk_level,stock_turnover_rate,safety_stock_ratio,stock_coverage_days,stock_pressure_index,inventory_value,excess_stock,stock_deficit,sales_velocity,reorder_urgency,daily_sales,days_until_stockout,stock_value_ratio
P00001,Móveis,Fornecedor A,BA,Roberto,358,1790,662,413,87,375,43,112.47,1.37,0.43,low,0.6238670694864048,0.540785498489426,48.087167070217916,0.13141993957703926,74455.14,0,0,0.928,-7.069767441860465,13.766666666666667,48.087167070217916,0.16640892757706183
P00002,Bebidas,Fornecedor C,PE,Fernanda,163,652,985,511,152,654,19,148.6,1.29,-0.35,medium,0.5187817258883248,0.16548223350253807,57.827788649706456,0.15431472081218275,146371.0,333,0,0.9296636085626911,-43.26315789473684,17.033333333333335,57.827788649706456,0.10473386121567796
P00003,Medicamentos,Fornecedor D,CE,Pedro,283,1132,1774,749,222,953,29,428.7,0.93,-0.32,medium,0.4222096956031567,0.15952649379932357,71.0547396528705,0.12514092446448705,760513.7999999999,642,0,0.9317943336831059,-51.41379310344828,24.966666666666665,71.0547396528705,0.029545814947736653
P00004,Eletrodomésticos,Fornecedor A,MG,Carlos,105,420,26,44,7,32,10,196.51,0.33,-0.07,critical,1.6923076923076923,4.038461538461538,17.72727272727273,0.2692307692307692,5109.26,0,79,0.875,7.9,1.4666666666666666,17.72727272727273,0.2583544388032709
P00005,Automotivo,Fornecedor A,GO,Pedro,223,1115,1187,785,260,1117,12,28.82,0.52,0.31,low,0.6613310867733783,0.18786857624262848,45.36305732484076,0.21903959561920808,34209.340000000004,72,0,0.9310653536257834,-80.33333333333333,26.166666666666668,45.36305732484076,0.6884084872727739
P00006,Papelaria,Fornecedor H,MG,Pedro,303,1818,2393,7,1,8,33,805.21,1.58,-0.21,medium,0.0029251984956122023,0.12661930631007104,10255.714285714286,0.0004178854993731718,1926867.53,575,0,0.5,-63.333333333333336,0.23333333333333334,10255.714285714286,0.00010898517761623186
P00007,Medicamentos,Fornecedor B,MG,Maria,218,1090,11,165,34,145,7,20.5,1.1,-0.25,critical,15.0,19.818181818181817,2.0,3.090909090909091,225.5,0,207,0.9379310344827586,29.571428571428573,5.5,2.0,21.95121951219512
P00008,Cosméticos,Fornecedor H,PR,Pedro,352,2464,369,423,98,424,17,830.86,0.55,0.12,medium,1.146341463414634,0.9539295392953929,26.170212765957448,0.26558265582655827,306587.34,0,0,0.9245283018867925,-1.0,14.1,26.170212765957448,0.04139114159116941
P00009,Móveis,Fornecedor G,SP,Fernanda,97,485,64,522,134,577,10,144.96,0.75,0.04,high,8.15625,1.515625,3.6781609195402303,2.09375,9277.44,0,33,0.92894280762565,3.3,17.4,3.6781609195402303,1.6879656456953642
P00010,Brinquedos,Fornecedor J,SC,Juliana,315,1260,164,488,120,517,31,974.7,1.91,-0.44,high,2.975609756097561,1.920731707317073,10.081967213114755,0.7317073170731707,159850.80000000002,0,151,0.9284332688588007,4.870967741935484,16.266666666666666,10.081967213114755,0.09158540338865992
P00011,Alimentos,Fornecedor J,SP,João,273,819,1539,122,28,120,6,604.27,0.92,-0.42,medium,0.0792722547108512,0.17738791423001948,378.44262295081967,0.018193632228719947,929971.53,720,0,0.9333333333333333,-211.0,4.066666666666666,378.44262295081967,0.003935604351242882
P00012,Móveis,Fornecedor B,BA,Ana,434,2170,334,692,162,696,17,735.25,1.84,0.14,high,2.07185628742515,1.2994011976047903,14.479768786127167,0.48502994011976047,245573.5,0,100,0.9310344827586207,5.882352941176471,23.066666666666666,14.479768786127167,0.08453680873547023
P00013,Automotivo,Fornecedor F,GO,João,399,1995,475,534,84,361,37,111.37,0.82,-0.03,medium,1.1242105263157895,0.84,26.685393258426966,0.17684210526315788,52900.75,0,0,0.9307479224376731,-2.054054054054054,17.8,26.685393258426966,0.30283124530370553
P00014,Automotivo,Fornecedor F,PE,Roberto,334,1336,317,257,78,337,18,862.24,1.22,0.47,high,0.8107255520504731,1.053627760252366,37.00389105058366,0.24605678233438485,273330.08,0,17,0.9258160237388724,0.9444444444444444,8.566666666666666,37.00389105058366,0.02820765281303836
P00015,Papelaria,Fornecedor C,RS,Fernanda,437,1311,419,381,92,396,26,839.35,0.33,0.18,high,0.9093078758949881,1.0429594272076372,32.99212598425197,0.21957040572792363,351687.65,0,18,0.9292929292929293,0.6923076923076923,12.7,32.99212598425197,0.032500430424554284
P00016,Cosméticos,Fornecedor B,BA,Fernanda,386,1158,2306,717,105,452,16,653.34,1.19,-0.49,medium,0.31092801387684305,0.1673894189071986,96.48535564853557,0.04553339115351258,1506602.04,1148,0,0.9292035398230089,-120.0,23.9,96.48535564853557,0.01427716107433387
P00017,Bebidas,Fornecedor A,RS,Carlos,329,2303,2498,285,84,361,8,502.77,1.38,-0.02,low,0.11409127301841474,0.13170536429143315,262.94736842105266,0.03362690152121697,1255919.46,195,0,0.9307479224376731,-271.125,9.5,262.94736842105266,0.006807761383042827
P00018,Papelaria,Fornecedor F,RS,Fernanda,166,830,597,544,181,779,24,721.77,0.7,-0.09,low,0.9112227805695142,0.2780569514237856,32.92279411764706,0.30318257956448913,430896.69,0,0,0.9293966623876765,-17.958333333333332,18.133333333333333,32.92279411764706,0.037874507692319474
P00019,Papelaria,Fornecedor E,PE,Ana,165,495,770,515,174,746,13,6.92,1.28,-0.39,medium,0.6688311688311688,0.21428571428571427,44.85436893203883,0.22597402597402597,5328.4,275,0,0.9329758713136729,-46.53846153846154,17.166666666666668,44.85436893203883,2.8995570903085355
P00020,Alimentos,Fornecedor I,RJ,Fernanda,148,444,94,145,29,126,29,592.85,1.4,0.42,high,1.5425531914893618,1.574468085106383,19.448275862068968,0.30851063829787234,55727.9,0,54,0.9206349206349206,1.8620689655172413,4.833333333333333,19.448275862068968,0.07805784894101518
P00021,Ferramentas,Fornecedor A,SP,Pedro,130,780,807,570,84,362,32,847.56,1.47,0.31,low,0.7063197026022305,0.161090458488228,42.473684210526315,0.10408921933085502,683980.9199999999,27,0,0.9281767955801105,-21.15625,19.0,42.473684210526315,0.02500069738787451
P00022,Cosméticos,Fornecedor G,MG,Carlos,74,444,729,1069,254,1088,24,357.54,1.62,-0.27,medium,1.46639231824417,0.10150891632373114,20.458372310570628,0.3484224965706447,260646.66,285,0,0.9338235294117647,-27.291666666666668,35.63333333333333,20.458372310570628,0.12304013410338731
P00023,Vestuário,Fornecedor E,CE,Ana,116,348,5,554,79,339,16,109.18,0.83,-0.24,critical,110.8,23.2,0.27075812274368233,15.8,545.9000000000001,0,111,0.9321533923303835,6.9375,18.466666666666665,0.27075812274368233,30.445136471881295
P00024,Papelaria,Fornecedor E,RS,Juliana,156,1092,1054,64,21,92,11,421.46,1.27,-0.47,low,0.06072106261859583,0.14800759013282733,494.0625,0.019924098671726755,444218.83999999997,0,0,0.9130434782608695,-81.63636363636364,2.1333333333333333,494.0625,0.004322193988890701
P00025,Livros,Fornecedor B,GO,Juliana,146,438,418,722,115,493,32,727.38,1.97,-0.2,low,1.7272727272727273,0.3492822966507177,17.36842105263158,0.2751196172248804,304044.84,0,0,0.9330628803245437,-8.5,24.066666666666666,17.36842105263158,0.07123949217490419
P00026,Jardinagem,Fornecedor C,BA,Juliana,420,1680,391,587,103,442,6,108.19,1.83,0.08,high,1.5012787723785166,1.0741687979539642,19.982964224872234,0.26342710997442453,42302.29,0,29,0.9321266968325792,4.833333333333333,19.566666666666666,19.982964224872234,0.41628952002362046
P00027,Ferramentas,Fornecedor G,RJ,Juliana,171,855,44,41,8,37,35,206.84,1.92,-0.08,critical,0.9318181818181818,3.8863636363636362,32.19512195121951,0.18181818181818182,9100.960000000001,0,127,0.8648648648648649,3.6285714285714286,1.3666666666666667,32.19512195121951,0.13515057752149223
P00028,Vestuário,Fornecedor F,RS,Pedro,437,3059,2519,746,153,658,33,148.4,0.96,0.47,low,0.29614926558158,0.17348154029376736,101.30026809651474,0.06073838824930528,373819.60000000003,0,0,0.9300911854103343,-63.09090909090909,24.866666666666667,101.30026809651474,0.05986844991541374
P00029,Livros,Fornecedor B,RJ,Fernanda,461,1844,291,184,55,239,18,797.15,1.64,-0.44,high,0.6323024054982818,1.5841924398625429,47.44565217391304,0.18900343642611683,231970.65,0,170,0.9205020920502092,9.444444444444445,6.133333333333334,47.44565217391304,0.023796113861818298
P00030,Cosméticos,Fornecedor F,RJ,João,109,763,1297,219,48,209,37,63.83,1.35,0.09,medium,0.16885119506553586,0.08404009252120277,177.67123287671234,0.03700848111025443,82787.51,534,0,0.9186602870813397,-32.108108108108105,7.3,177.67123287671234,0.0793597971481447
P00031,Eletrônicos,Fornecedor B,RS,Ana,347,1388,1279,614,96,412,13,686.9,0.44,0.36,low,0.4800625488663018,0.27130570758405004,62.49185667752443,0.07505863956215794,878545.1,0,0,0.9320388349514563,-71.6923076923077,20.466666666666665,62.49185667752443,0.02096648197115891
P00032,Livros,Fornecedor B,PR,Pedro,408,2040,146,868,155,666,10,367.09,1.7,-0.02,high,5.945205479452055,2.7945205479452055,5.046082949308755,1.0616438356164384,53595.14,0,262,0.9309309309309309,26.2,28.933333333333334,5.046082949308755,0.48586494969506566
P00033,Brinquedos,Fornecedor B,SC,Juliana,316,1580,2720,421,99,425,37,756.04,1.45,-0.5,medium,0.1547794117647059,0.1161764705882353,193.82422802850357,0.036397058823529414,2056428.7999999998,1140,0,0.9317647058823529,-64.97297297297297,14.033333333333333,193.82422802850357,0.006141715190917381
P00034,Ferramentas,Fornecedor C,GO,Roberto,150,900,1341,1039,157,673,26,964.42,0.64,-0.26,medium,0.7747949291573453,0.11185682326621924,38.71992300288739,0.11707680835197613,1293287.22,441,0,0.9331352154531947,-45.80769230769231,34.63333333333333,38.71992300288739,0.024101374789739283
P00035,Medicamentos,Fornecedor B,MG,Fernanda,92,368,31,1206,313,1341,17,115.43,0.44,-0.18,high,38.903225806451616,2.967741935483871,0.7711442786069651,10.096774193548388,3578.3300000000004,0,61,0.9336316181953765,3.588235294117647,40.2,0.7711442786069651,10.110861770714271
